Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,2481579504997.81,2659882040934.51,2704017284861.91,2783251090198.95,3065521109394.94,2932784751846.27,2693247611031.81,2662484018735.82,2857316524862.61,2830813507746.87,2707743777173.91
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,14992052727000,15542581104000,16197007349000,16784849196000,17527163695000,18238300569000,18745075687000,19542979183000,20611860934000,21433224697000,20936600000000
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,40284481651.9021,47962439303.7247,51264390116.4909,57531233350.9101,57236013086.1223,53274304222.136,57236652490.1699,64233966861.2518,64515038268.1373,61231149880.5857,53628827440.3582
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,46679875793.5724,56516280748.3777,63628854498.5024,68997168337.6782,76658542757.4707,81847410181.7953,81779012350.8833,59159945320.5667,50392607758.2324,57726542784.9204,57707189945.4214
Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,670713208.084552,770153304.153832,747839697.746593,758304466.245339,772315721.265827,730870581.672312,780889605.899977,880043553.748442,914727908.137793,930337960.037478,854793640.145606
"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,393192354510.653,316482190800.364,381286237847.667,371005379786.566,482359318767.703,..,..,..,..,..,..
Vietnam,VNM,GDP (current US$),NY.GDP.MKTP.CD,115931749697.241,135539438559.709,155820001920.492,171222025117.381,186204652922.262,193241108709.536,205276172134.901,223779865815.183,245213686369.157,261921244843.172,271158442059.082
Virgin Islands (U.S.),VIR,GDP (current US$),NY.GDP.MKTP.CD,4339000000,4239000000,4095000000,3762000000,3622000000,3748000000,3873000000,3893000000,3984000000,..,..
West Bank and Gaza,PSE,GDP (current US$),NY.GDP.MKTP.CD,9681500000,11186100000,12208400000,13515500000,13989700000,13972400000,15405400000,16128000000,16276600000,17133500000,15561300000
"Yemen, Rep.",YEM,GDP (current US$),NY.GDP.MKTP.CD,30906749533.221,32726417212.348,35401341663.0425,40415235701.9871,43228585321.3272,42445102386.6049,30933825064.3657,26736138944.5558,23486269598.9858,..,..
Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,20265559483.8548,23459515275.5776,25503060420.026,28037239462.7142,27141023558.0829,21251216798.7762,20958412538.3093,25873601260.8353,26311637646.6539,23308688906.1288,19320053859.279
Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,12041655200,14101920300,17114849900,19091020000,19495519600,19963120600,20548678100,19015327919.1087,19523622341.6133,16932434838.6928,16768513442.6415
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,803688606377.652,896256075479.174,913197374145.501,927655465312.341,956318682604.139,893099720325.014,854751939466.57,962268990853.851,984032027895.521,977809241188.771,898474072150.353
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,580217267150.154,658428249866.884,716935231751.071,807818949699.141,846943079513.472,757492080699.648,687484728475.586,680989095100.78,738131279381.972,792078923887.672,786584975143.582
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,2111125616635.67,2494923345274.91,2769083177301.96,2849688199794.27,2884648185179.87,2513208408401.34,2461967082628.85,2511064813464.14,2758001019806.72,2811182227470.86,2530185792347.04
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,64524447280.9871,69668272158.708,72051116148.0838,73419211007.4915,74439627824.1491,73063500000.9803,69496735798.6131,71763156883.7707,75432216540.9218,76644400521.136,68415253068.2718
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,1316585584120.7,1448818332413.1,1352666800306.25,1422206484521.36,1464858797617.65,1292086768710.81,1320631381338.53,1462833446332.53,1644174835271.96,1668520366187.3,1644372278258.43
Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,8576600003890.37,9609321705096.68,10076933482439.4,10261105002159.5,10615976272032,10306669247463,10547542985530.6,11397555336619.6,11457073674938.5,11782968929039.6,10845901024093.1
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,16990763894087.1,19681477559952.1,21065517287924,21316510680577.5,21996327244686.3,21904440888146.7,22653391943372.2,24223795431177.3,26352450117702.2,26916892986113.9,..
